date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2013-08-21,1370.6000,22.9580,52.4200,24.5167,,19.3200,3.6590,88.8000,6.5748,9011.46,150.94,-0.1821,-0.4682,-0.7197,0.4370,,-1.7294,-0.5436,-1.0364,-0.4653
2013-08-22,1371.2000,23.0300,52.4600,24.4867,,19.2700,3.6610,88.2600,6.5112,8928.16,149.95,0.0438,0.3136,0.0763,-0.1224,,-0.2588,0.0547,-0.6081,-0.0245
2013-08-23,1395.7000,23.7330,52.6200,24.4800,,19.5200,3.6740,88.4100,,,,1.7868,3.0525,0.3050,-0.0272,,1.2974,0.3551,0.1700,1.0728
2013-08-26,1393.0000,24.0080,52.0500,24.3433,,19.4500,3.7480,87.5300,6.5138,9073.65,156.38,-0.1934,1.1587,-1.0832,-0.5583,,-0.3586,2.0142,-0.9954,-0.1034
2013-08-27,1420.6000,24.6490,51.2700,24.2867,,19.2400,3.6550,86.1700,6.4847,9212.19,159.84,1.9813,2.6699,-1.4986,-0.2328,,-1.0797,-2.4813,-1.5538,0.0868
2013-08-28,1419.0000,24.3890,51.4700,24.1267,,19.1100,3.8280,86.5300,6.5022,9226.62,158.58,-0.1126,-1.0548,0.3901,-0.6588,,-0.6757,4.7332,0.4178,0.2328
2013-08-29,1412.9000,24.0900,51.4500,24.1433,,19.0800,3.8950,86.5700,6.5919,9313.70,158.80,-0.4299,-1.2260,-0.0389,0.0691,,-0.1570,1.7503,0.0462,-0.0899
2013-08-30,1396.1000,23.4630,51.4000,24.3267,,19.0400,3.8510,86.4100,,,,-1.1890,-2.6027,-0.0972,0.7594,,-0.2096,-1.1297,-0.1848,-0.6577
2013-09-02,,,,,,,,,6.6033,,,,,,,,,,,
2013-09-03,1412.0000,24.3820,51.3100,24.2267,,19.2100,3.8350,86.4200,6.6198,9347.17,161.40,1.1389,3.9168,-0.1751,-0.4111,,0.8928,-0.4155,0.0116,0.7123
